City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,lorengau,-2.0226,147.2712,27.53,80,100,2.09,PG,1737592072
306,yarega,63.4354,53.5765,-20.56,99,94,2.68,RU,1737592073
307,ambodifotatra,-16.9833,49.85,26.54,75,85,1.8,MG,1737592075
308,katima mulilo,-17.5,24.2667,19.6,97,100,1.97,NA,1737592077
309,enewetak,11.3474,162.3373,27.24,78,100,9.52,MH,1737592078
310,pavlovo,55.9686,43.0912,-6.89,72,100,8.13,RU,1737592079
311,fort st. john,56.2499,-120.8529,0.94,60,100,9.77,CA,1737592081
312,guajara mirim,-10.7828,-65.3394,22.51,98,100,1.16,BR,1737592082
313,minas de marcona,-15.2119,-75.1103,17.59,79,81,5.82,PE,1737592083
314,kargasok,59.0556,80.8572,-21.39,92,100,7.12,RU,1737592084
315,kharp,66.8014,65.8081,-26.62,92,28,3.7,RU,1737591933
316,tayaman,13.2295,120.5726,26.36,75,98,3.33,PH,1737592087
317,den helder,52.9599,4.7593,4.99,93,100,3.6,NL,1737592088
318,bauta,22.9828,-82.5464,16.94,100,100,4.63,CU,1737592089
319,sharm el-sheikh,27.8518,34.305,19.08,48,0,4.12,EG,1737592091
320,biloela,-24.4167,150.5,32.98,48,4,5.15,AU,1737592092
321,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,45,0,6.0,RU,1737592093
322,zhlobin,52.8926,30.024,0.68,98,100,4.26,BY,1737592095
323,nadym,65.5333,72.5167,-26.71,97,96,7.41,RU,1737591855
324,mbandaka,0.0487,18.2603,22.65,82,89,0.5,CD,1737592097
325,yeed,4.55,43.0333,23.73,53,76,5.46,SO,1737592098
326,sabang,5.8933,95.3214,27.14,76,100,5.18,ID,1737592100
327,tamanrasset,22.785,5.5228,13.95,13,0,5.66,DZ,1737592101
328,les avirons,-21.2418,55.3394,23.05,65,0,2.06,RE,1737592103
329,mhamid,29.82,-5.72,11.22,30,32,0.29,MA,1737592104
330,daru,-9.0763,143.2092,28.15,84,100,2.35,PG,1737592105
331,tommot,58.9564,126.2925,-23.89,97,98,0.6,RU,1737592107
332,anloga,5.7947,0.8973,26.82,90,100,4.35,GH,1737592108
333,lihue,21.9789,-159.3672,24.77,53,20,6.17,US,1737592109
334,pisco,-13.7,-76.2167,21.12,88,0,9.77,PE,1737592111
335,namdrik,5.5994,168.1028,27.22,82,53,9.76,MH,1737592112
336,valdosta,30.8327,-83.2785,0.95,73,0,2.06,US,1737591941
337,tekirova,36.5017,30.5272,10.86,89,84,2.49,TR,1737592114
338,igarka,67.4667,86.5833,-31.96,88,100,7.95,RU,1737592115
339,selkirk,50.1436,-96.8845,-19.34,75,97,0.89,CA,1737592117
340,zarand,30.8127,56.564,0.88,62,3,0.62,IR,1737592119
341,elyria,41.3684,-82.1077,-10.03,54,100,7.2,US,1737592079
342,kolonia town,6.964,158.206,31.06,74,75,5.66,FM,1737592122
343,livingston,55.9029,-3.5226,2.93,95,100,1.03,GB,1737592123
344,thakhek,17.4103,104.8307,16.06,84,93,1.1,LA,1737592124
345,donggang,28.9365,114.2259,11.38,51,71,1.67,CN,1737592126
346,san pedro de ycuamandiyu,-24.0917,-57.0764,29.91,50,46,2.12,PY,1737592127
347,la ronge,55.1001,-105.2842,-14.88,85,40,1.54,CA,1737592011
348,howrah,22.5892,88.3103,15.0,100,100,1.54,IN,1737592130
349,sur,22.5667,59.5289,20.85,47,1,9.9,OM,1737592131
350,jiuquan,39.7432,98.5174,-6.35,50,77,1.16,CN,1737592132
351,mosjoen,65.836,13.1908,-10.71,92,100,0.51,NO,1737592133
352,constantia,44.1833,28.65,1.5,89,72,3.76,RO,1737592134
353,lata,40.1629,-8.3327,14.16,90,97,1.0,PT,1737592136
354,palpala,-24.2565,-65.2116,21.57,94,100,1.54,AR,1737592138
355,bandar lampung,-5.4254,105.258,23.37,95,100,1.13,ID,1737592139
356,madimba,-10.4,40.3333,26.76,81,99,4.7,TZ,1737592140
357,sheridan,44.8333,-106.9173,-3.79,89,100,11.32,US,1737592141
358,janauba,-15.8025,-43.3089,24.69,73,46,2.66,BR,1737592143
359,champerico,14.3,-91.9167,27.04,71,0,3.18,GT,1737592144
